Date,site_name,swe,Elevation_ft,Latitude,Longitude
2025-04-12,Albro Lake (916),19.8,8300,45.59723,-111.95902
2025-04-12,Badger Pass (307),25,6900,48.13091,-113.02311
2025-04-12,Banfield Mountain (311),15.9,5600,48.5712,-115.44573
2025-04-12,Barker Lakes (313),14.3,8250,46.09713,-113.13038
2025-04-12,Basin Creek (315),9.3,7180,45.79737,-112.52047
2025-04-12,Bassoo Peak (1190),3.4,5150,47.85562,-114.75841
2025-04-12,Beagle Springs (318),9.2,8850,44.47147,-112.98191
2025-04-12,Beaver Creek (328),15.1,7850,44.94966,-111.35852
2025-04-12,Bisson Creek (346),9.3,4920,47.68386,-113.99895
2025-04-12,Black Bear (347),34.4,8170,44.50832,-111.12803
2025-04-12,Black Pine (349),9.8,7210,46.414,-113.43095
2025-04-12,Blacktail Mtn (1144),8.8,5650,47.98317,-114.35443
2025-04-12,Bloody Dick (355),12.1,7600,45.16507,-113.50099
2025-04-12,Boulder Mountain (360),20,7950,46.5596,-111.28973
2025-04-12,Box Canyon (363),5.4,6670,45.27178,-110.24899
2025-04-12,Brackett Creek (365),21.5,7320,45.89107,-110.93851
2025-04-12,Burnt Mtn (981),3.5,5880,45.2401,-109.45961
2025-04-12,Calvert Creek (381),2.1,6430,45.8838,-113.32553
2025-04-12,Carrot Basin (385),26.2,9000,44.96192,-111.29403
2025-04-12,Chicago Ridge (1312),37.2,5800,48.06224,-115.69748
2025-04-12,Clover Meadow (403),16.1,8600,45.01788,-111.8456
2025-04-12,Cole Creek (407),14.2,7850,45.19405,-109.34548
2025-04-12,Combination (410),0.3,5600,46.46523,-113.39358
2025-04-12,Copper Bottom (413),1.2,5200,47.05678,-112.595
2025-04-12,Copper Camp (414),24.4,6950,47.08158,-112.72955
2025-04-12,Crystal Lake (427),17.1,6050,46.78936,-109.51202
2025-04-12,Daisy Peak (919),11.5,7600,46.66858,-110.33022
2025-04-12,Daly Creek (433),2.3,5780,46.18367,-113.8533
2025-04-12,Darkhorse Lake (436),28,8945,45.17368,-113.5846
2025-04-12,Deadman Creek (437),11.3,6450,46.79279,-110.67545
2025-04-12,Divide (448),8.8,7800,44.79317,-112.05645
2025-04-12,Dupuyer Creek (458),2.8,5750,48.06341,-112.7573
2025-04-12,East Boulder Mine (1105),6.9,6335,45.50381,-110.08019
2025-04-12,Elk Peak Alt (1316),17.3,7801,46.47617,-110.72148
2025-04-12,Emery Creek (469),11.1,4350,48.43412,-113.93725
2025-04-12,Fisher Creek (480),30.8,9100,45.06235,-109.94488
2025-04-12,Flattop Mtn (482),36.9,6300,48.80225,-113.85713
2025-04-12,Frohner Meadow (487),5.7,6480,46.43545,-112.19277
2025-04-12,Garver Creek (918),8.8,4250,48.97523,-115.81915
2025-04-12,Grave Creek (500),14.4,4300,48.91453,-114.76663
2025-04-12,Hand Creek (510),10.1,5035,48.30754,-114.84075
2025-04-12,Hawkins Lake (516),23.2,6450,48.9724,-115.95344
2025-04-12,Hoodoo Basin (530),37.4,6050,46.97511,-115.03486
2025-04-12,JL Meadow (1287),11.7,8800,44.77665,-113.12217
2025-04-12,Kraft Creek (562),6.9,4750,47.42749,-113.77515
2025-04-12,Lakeview Ridge (568),4,7400,44.58907,-111.82498
2025-04-12,Lemhi Ridge (576),9.5,8100,44.9938,-113.44399
2025-04-12,Lick Creek (578),12.3,6860,45.5041,-110.96625
2025-04-12,Lone Mountain (590),22.3,8880,45.27412,-111.42692
2025-04-12,Lower Twin (603),18.8,7900,45.50871,-111.92288
2025-04-12,Lubrecht Flume (604),0,4680,46.88293,-113.32228
2025-04-12,Madison Plateau (609),23.5,7750,44.58623,-111.11627
2025-04-12,Many Glacier (613),6.1,4900,48.79698,-113.6705
2025-04-12,Monument Peak (635),19.1,8850,45.21759,-110.237
2025-04-12,Moss Peak (646),41.6,6780,47.68497,-113.96239
2025-04-12,Mount Lockhart (649),16.2,6400,47.91727,-112.8238
2025-04-12,Mule Creek (656),14,8300,45.40957,-112.95927
2025-04-12,N Fk Elk Creek (657),10.3,6250,46.8716,-113.27725
2025-04-12,Nevada Ridge (903),13.8,7020,46.84234,-112.50787
2025-04-12,Nez Perce Camp (662),13.6,5650,45.73107,-114.48075
2025-04-12,Noisy Basin (664),50.8,6040,48.15668,-113.9463
2025-04-12,North Fork Jocko (667),45.9,6330,47.27258,-113.75631
2025-04-12,Northeast Entrance (670),8,7350,45.00568,-110.01411
2025-04-12,Onion Park (1008),15.8,7410,46.91348,-110.8536
2025-04-12,Peterson Meadows (930),11,7200,46.12588,-113.30792
2025-04-12,Pickfoot Creek (690),5.4,6650,46.57969,-111.26812
2025-04-12,Pike Creek (693),1.8,5930,48.30305,-113.32868
2025-04-12,Placer Basin (696),17.5,8830,45.41905,-110.08844
2025-04-12,Poorman Creek (932),32.3,5100,48.12632,-115.6234
2025-04-12,Porcupine (700),5.7,6500,46.11192,-110.4696
2025-04-12,Rocker Peak (722),14.2,8000,46.35613,-112.26176
2025-04-12,Rocky Boy (917),3.1,4700,48.17478,-109.64728
2025-04-12,S Fork Shields (725),15.5,8100,46.08963,-110.43367
2025-04-12,Sacajawea (929),12.1,6550,45.87395,-110.92783
2025-04-12,Saddle Mtn (727),21.3,7940,45.69259,-113.96828
2025-04-12,Short Creek (753),2.9,7000,44.97572,-111.95215
2025-04-12,Shower Falls (754),25.8,8100,45.40125,-110.95758
2025-04-12,Skalkaho Summit (760),19.1,7250,46.24212,-113.7725
2025-04-12,Slagamelt Lakes (1286),27.8,8620,45.36526,-113.71834
2025-04-12,Sleeping Woman (783),12.3,6150,47.17902,-114.33371
2025-04-12,Spur Park (781),23.8,8100,46.77962,-110.62165
2025-04-12,Stahl Peak (787),35.8,6030,48.90902,-114.86298
2025-04-12,Stringer Creek (1009),13.3,6550,46.9269,-110.90198
2025-04-12,Stryker Basin (1311),27.7,6194,48.68005,-114.66365
2025-04-12,Stuart Mountain (901),32.2,7400,46.99521,-113.92667
2025-04-12,Tepee Creek (813),11,8000,44.78562,-111.71
2025-04-12,Tizer Basin (893),7.3,6880,46.34937,-111.85308
2025-04-12,Twelvemile Creek (835),18.6,5600,46.14287,-114.44755
2025-04-12,Twin Lakes (836),39.3,6400,46.1438,-114.5056
2025-04-12,Waldron (847),8.2,5600,47.91998,-112.79087
2025-04-12,Warm Springs (850),25.2,7800,46.27368,-113.164
2025-04-12,West Yellowstone (924),8.9,6700,44.65866,-111.09199
2025-04-12,Whiskey Creek (858),15.8,6800,44.61088,-111.14998
2025-04-12,White Mill (862),25,8700,45.04575,-109.90987
2025-04-12,Wood Creek (876),4.7,5960,47.44847,-112.81428
