lat,long,type
-28.82455749,153.25770116,8
-28.82724608,153.25532479,7
-28.82354275,153.25656006,8
-28.81995628,153.2554327,8
-28.81814489,153.25519526,8
-28.82316468,153.25836009,7
-28.82371932,153.25762105,8
-28.82120417,153.26539171,6
-28.82425166,153.25757093,8
-28.82452154,153.25831247,8
-28.82450108,153.25812023,6
-28.82459269,153.25806378,6
-28.82367305,153.25720659,8
-28.82344022,153.25742211,8
-28.82262713,153.25809451,8
-28.82382746,153.2573772,8
-28.82317766,153.25877215,8
-28.83172044,153.25647425,8
-28.81575392,153.2535506,8
-28.82384654,153.25723614,8
-28.82125007,153.2609844,8
-28.82305273,153.26136893,8
-28.82382865,153.25850409,8
-28.82400758,153.25747372,8
-28.82424568,153.25781677,8
-28.82441068,153.2583934,7
-28.82479357,153.25969211,8
-28.82483198,153.25822519,7
-28.82280936,153.25549802,8
-28.82142802,153.25506427,8
-28.82323187,153.2571793,7
-28.81763723,153.25889435,8
-28.82229904,153.25898337,8
-28.82320044,153.26027196,8
-28.82394895,153.25770602,8
-28.82400676,153.25783769,8
-28.82389648,153.26080531,8
-28.82465935,153.26115534,8
-28.82421304,153.25791018,8
-28.82452524,153.25766305,8
-28.82055999,153.26009873,7
-28.82351,153.25815786,8
-28.82372757,153.25783245,7
-28.82344341,153.25866306,8
-28.82159766,153.26404695,7
-28.82321223,153.25972323,8
-28.8238328,153.25803024,7
-28.82203086,153.26743342,7
-28.8240347,153.25807682,7
-28.82427813,153.25812139,8
-28.82427813,153.25812139,8
-28.82603428,153.25935099,8
-28.82609924,153.25929131,7
-28.82396317,153.25618211,8
-28.82380134,153.25639046,8
-28.82297369,153.25512823,7
-28.823042,153.25704538,8
-28.82400484,153.25716229,8
-28.82205278,153.2620501,7
-28.82324423,153.25926516,6
-28.8239165,153.25981811,7
-28.82480263,153.25826238,8
-28.82010927,153.25133011,6
-28.81676692,153.25855217,8
-28.82073626,153.26188126,8
-28.82305635,153.26001105,8
-28.82184145,153.26700245,6
-28.82607299,153.25914891,7
-28.82354806,153.25680256,8
-28.82110732,153.25824969,8
-28.82322774,153.25772148,8
-28.82354219,153.25760158,8
-28.82324184,153.25990736,6
-28.82327172,153.25982107,8
-28.82402871,153.25792104,8
-28.82426928,153.25820426,8
-28.82499195,153.26240109,8
-28.82446194,153.25836036,8
-28.82590909,153.26016602,6
-28.82615021,153.25920371,8
-28.82391117,153.25433687,8
-28.82205534,153.2559883,8
-28.82216942,153.25748366,8
-28.82389043,153.2570202,8
-28.82343062,153.25715779,8
-28.82118217,153.26105549,7
-28.82334029,153.25901477,8
-28.8239523,153.25657066,8
-28.82362804,153.25676897,8
-28.81654844,153.25908755,7
-28.81654844,153.25908755,6
-28.81683697,153.25982882,7
-28.8186046,153.26224465,6
-28.82301091,153.25885604,7
-28.8203663,153.26523737,8
-28.82366607,153.25831995,8
-28.82403026,153.26051603,8
-28.82423618,153.25805525,8
-28.82423618,153.25805525,8
-28.8244064,153.25823794,8
-28.82455251,153.25793138,8
-28.81860221,153.22585162,8
-28.82351779,153.25691176,8
-28.82373132,153.25775781,8
-28.82374718,153.25817593,8
-28.82414063,153.25836222,8
-28.82450474,153.25835266,8
-28.81961912,153.25538117,7
-28.81919704,153.26192296,8
-28.82288654,153.26074627,8
-28.82324945,153.25988075,6
-28.8245514,153.25804265,6
-28.82583137,153.25953388,7
-28.84152031,153.26588791,7
-28.83326422,153.25737126,8
-28.82568865,153.25654348,8
-28.82289103,153.25659195,8
-28.82380591,153.256918,8
-28.81758621,153.26709448,7
-28.82386424,153.25816696,8
-28.82443917,153.2582846,8
-28.82610259,153.25930123,8
-28.82446778,153.25717335,8
-28.82851014,153.25356289,8
-28.82344227,153.25689643,8
-28.82259623,153.25810519,8
-28.82223247,153.25899052,7
-28.82431706,153.25802779,8
-28.82547276,153.26060405,8
-28.824959,153.25818397,8
-28.82489284,153.25532601,8
-28.8230245,153.25611488,8
-28.82282142,153.25652856,8
-28.82334046,153.25740264,8
-28.82254027,153.25791142,8
-28.82241989,153.26046349,8
-28.82456586,153.25651327,8
-28.82442693,153.25587799,8
-28.82459459,153.25441198,6
-28.82418521,153.25631346,8
-28.82440675,153.24064455,7
-28.82057459,153.25509556,8
-28.82115953,153.26158589,6
-28.82310491,153.26086001,8
-28.82449943,153.25799041,7
-28.82468204,153.25817078,6
-28.82382967,153.25627629,8
-28.82314471,153.25707761,8
-28.82314471,153.25707761,8
-28.82373645,153.25785047,8
-28.82043659,153.27316442,8
-28.82448682,153.25779572,8
-28.82574761,153.2596612,7
-28.82284751,153.25537766,8
-28.8209528,153.25547827,8
-28.82275017,153.25692086,8
-28.81995668,153.25852914,8
-28.82345371,153.25807443,8
-28.82345371,153.25807443,8
-28.82327596,153.25906066,7
-28.82295131,153.26078328,8
-28.82322188,153.26035145,8
-28.82296455,153.2613708,8
-28.82440042,153.2582827,8
-28.82479478,153.25928591,6
-28.82468882,153.25894161,8
-28.82520693,153.25840174,8
-28.8255903,153.25503819,8
-28.82409955,153.25647244,8
-28.82407477,153.25654382,8
-28.81934677,153.25474398,7
-28.82114421,153.2561154,7
-28.82311885,153.25742501,8
-28.82395765,153.25704651,8
-28.82370707,153.25764738,8
-28.82366571,153.2580002,8
-28.82276127,153.26030397,8
-28.82323391,153.26038822,6
-28.82402523,153.25789854,8
-28.82415809,153.25833172,8
-28.82431166,153.25818258,8
-28.83033058,153.25121161,7
-28.81639524,153.25859539,7
-28.82318266,153.25870457,6
-28.82279562,153.25992282,8
-28.82321526,153.26152237,7
-28.82401316,153.25742552,8
-28.82397355,153.25805579,8
-28.82397355,153.25805579,7
-28.82397355,153.25805579,8
-28.8348249,153.26346645,7
-28.82643231,153.25642911,8
-28.82291949,153.25846845,8
-28.82306452,153.25876572,6
-28.82308748,153.26034889,8
-28.82308748,153.26034889,8
-28.8237811,153.25804741,8
-28.82287338,153.26149033,8
-28.82337511,153.2599696,7
-28.82420161,153.25786258,8
-28.82454707,153.25512621,8
-28.81921384,153.25498705,8
-28.79762049,153.25279668,7
-28.82338516,153.25816788,8
-28.82368516,153.25780421,8
-28.82311152,153.26017414,8
-28.82234219,153.28571104,8
-28.82413454,153.25845942,8
-28.82414766,153.25835555,6
-28.82822381,153.26392892,6
-28.8264039,153.25652748,8
-28.81898895,153.25315686,8
-28.82310361,153.25721542,8
-28.81638872,153.25976909,6
-28.81812634,153.25987479,6
-28.82206452,153.26439446,7
-28.82394317,153.2579637,8
-28.8244172,153.25837704,8
-28.82544369,153.25826698,8
-28.82251149,153.25530078,8
-28.8229902,153.25779889,8
-28.79007106,153.29575835,6
-28.82377534,153.25791376,8
-28.82377534,153.25791376,8
-28.82457729,153.25855822,7
-28.81949946,153.25369987,8
-28.8198133,153.25524973,8
-28.82318248,153.25711993,8
-28.82310369,153.26049573,8
-28.82404631,153.25941316,6
-28.82412104,153.25835356,8
-28.82443187,153.25851466,8
-28.82564123,153.25975379,7
-28.82412723,153.2561833,8
-28.82387672,153.25607379,8
-28.8219296,153.25455154,6
-28.82365717,153.25750325,8
-28.82295795,153.25935109,8
-28.82356096,153.25839198,8
-28.82361133,153.25916668,8
-28.82400908,153.25779254,8
-28.8240724,153.25736412,8
-28.82390638,153.26415898,7
-28.8240555,153.25811886,8
-28.82476938,153.25823092,8
-28.82435577,153.25494744,8
-28.82235498,153.25662379,8
-28.81731035,153.26837991,8
-28.82446848,153.258372,8
-28.82456995,153.25770562,8
-28.83103459,153.25670655,8
-28.82454727,153.25645629,8
-28.82451091,153.25648076,8
-28.82420208,153.25621063,8
-28.82361114,153.25658862,8
-28.81575345,153.25084152,8
-28.82169316,153.25678295,8
-28.81674784,153.25852563,7
-28.82385399,153.25718302,8
-28.82335896,153.26003817,8
-28.82551896,153.26270797,8
-28.8249944,153.26001635,8
-28.82508197,153.26035098,8
-28.81730637,153.2532458,8
-28.81650964,153.25959206,7
-28.82367314,153.25725151,8
-28.82341943,153.26010973,8
-28.82500477,153.25922578,7
-28.82529171,153.2590808,8
-28.82399231,153.25549453,8
-28.82166066,153.25094814,6
-28.81837585,153.26017903,6
-28.82331115,153.2583727,8
-28.8227889,153.25994331,7
-28.82340463,153.26016831,8
-28.82331773,153.2608017,8
-28.82421188,153.26120779,6
-28.82382989,153.25538468,8
-28.82119367,153.25676071,6
-28.82293611,153.25712774,8
-28.81657587,153.25929719,7
-28.82285676,153.26009186,6
-28.82354702,153.25967899,8
-28.82413049,153.25832443,7
-28.82480392,153.25819304,7
-28.82448666,153.25699539,8
-28.82296348,153.25690412,7
-28.82335749,153.25715233,7
-28.81596277,153.25959388,7
-28.82325111,153.26212716,8
-28.82411056,153.25808762,8
-28.82875738,153.253024,8
-28.82459485,153.25614525,8
-28.82411664,153.25635432,8
-28.82374669,153.25590474,8
-28.82133154,153.2511721,6
-28.82262565,153.25833089,8
-28.82321867,153.2578939,8
-28.82146946,153.26149656,6
-28.82370633,153.25786285,8
-28.82390499,153.25771756,8
-28.82486134,153.25935318,8
-28.81725574,153.2573221,8
-28.81706425,153.25908912,6
-28.81639324,153.25960443,7
-28.82273977,153.25868791,8
-28.82240416,153.26319554,8
-28.82413698,153.25751089,8
-28.82482783,153.26122033,8
-28.82443674,153.25828797,8
-28.82474578,153.25874662,8
-28.80926006,153.24518045,8
-28.82122572,153.25658499,6
-28.81680719,153.25979783,6
-28.82351125,153.25945729,8
-28.82474122,153.25814693,6
-28.83198003,153.25720088,8
-28.81592459,153.25085204,8
-28.81610444,153.25311959,8
-28.81992712,153.2550518,8
-28.81316183,153.2523043,8
-28.82226913,153.25855823,7
-28.81899357,153.26177303,8
-28.82322713,153.26024655,7
-28.82561081,153.25962487,7
-28.83078753,153.25029452,8
-28.81922496,153.25018536,8
-28.82361731,153.25742608,8
-28.82306546,153.25840907,6
-28.82233309,153.25954735,8
-28.82367528,153.25758634,6
-28.82331804,153.25885184,7
-28.82397376,153.25730348,8
-28.82389158,153.25757566,8
-28.82529211,153.26211951,8
-28.82563167,153.25947387,6
-28.8260559,153.25924736,6
-28.82643876,153.25647157,8
-28.82160048,153.25065039,6
-28.82158012,153.25083549,6
-28.81959023,153.25466475,8
-28.82262658,153.25636633,8
-28.82272443,153.26005723,8
-28.82385107,153.25779583,8
-28.82465141,153.26064503,8
-28.8236049,153.2573485,8
-28.8236049,153.2573485,8
-28.82333492,153.25775826,8
-28.82279765,153.2612869,8
-28.82338451,153.25981532,8
-28.82452906,153.2581303,6
-28.82564547,153.25914564,7
-28.8244081,153.25702448,8
-28.82027818,153.25149363,6
-28.82360123,153.25652412,8
-28.82311002,153.25641657,8
-28.81793112,153.25366945,8
-28.82334219,153.25717952,8
-28.82362371,153.25740929,8
-28.82362371,153.25740929,8
-28.82362371,153.25740929,8
-28.82223888,153.25900693,8
-28.82338842,153.25880166,8
-28.82392932,153.25831469,8
-28.82386791,153.25930301,6
-28.82417835,153.26164737,7
-28.82508265,153.26033766,8
-28.82574361,153.26204688,8
-28.83679408,153.27818201,7
